date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:12:14	529/529	---MCZ	200	added ('OK')	text/plain	date:Tue,%2023%20Oct%202018%2012:12:15%20GMT	https://www.facebook.com/robots.txt		(from )
20:12:15	595888/595888	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2012:12:15%20GMT	https://www.facebook.com/cabecoson	C:/My%20Websites/0/www.facebook.com/cabecoson.html	(from )
20:12:17	596270/596270	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2012:12:18%20GMT	https://www.facebook.com/cabecoson?_fb_noscript=1	C:/My%20Websites/0/www.facebook.com/cabecoson4964.html	(from https://www.facebook.com/cabecoson)
20:12:17	1032/1032	---MCZ	200	added ('OK')	text/xml	date:Tue,%2023%20Oct%202018%2012:12:18%20GMT	https://www.facebook.com/osd.xml	C:/My%20Websites/0/www.facebook.com/osd.xml	(from https://www.facebook.com/cabecoson)
20:12:17	173456/173456	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yH/l/1,cross/XSOUaVDguxV.css	C:/My%20Websites/0/static.xx.fbcdn.net/rsrc.php/v3/yH/l/1,cross/XSOUaVDguxV.css	(from https://www.facebook.com/cabecoson)
20:12:18	245376/245376	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/y8/l/1,cross/NdT7zACAki5.css	C:/My%20Websites/0/static.xx.fbcdn.net/rsrc.php/v3/y8/l/1,cross/NdT7zACAki5.css	(from https://www.facebook.com/cabecoson)
20:12:18	36890/36890	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/y9/l/1,cross/ZNxEGYhmi_O.css	C:/My%20Websites/0/static.xx.fbcdn.net/rsrc.php/v3/y9/l/1,cross/ZNxEGYhmi_O.css	(from https://www.facebook.com/cabecoson)
20:12:18	82096/82096	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/y0/l/1,cross/-xmURBmSEK3.css	C:/My%20Websites/0/static.xx.fbcdn.net/rsrc.php/v3/y0/l/1,cross/-xmURBmSEK3.css	(from https://www.facebook.com/cabecoson)
20:12:18	22469/22469	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yX/l/1,cross/oWWlSfZVgNU.css	C:/My%20Websites/0/static.xx.fbcdn.net/rsrc.php/v3/yX/l/1,cross/oWWlSfZVgNU.css	(from https://www.facebook.com/cabecoson)
20:12:19	70770/70770	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yb/l/1,cross/UlMYsFGwpVB.css	C:/My%20Websites/0/static.xx.fbcdn.net/rsrc.php/v3/yb/l/1,cross/UlMYsFGwpVB.css	(from https://www.facebook.com/cabecoson)
20:12:19	52641/52641	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yS/l/1,cross/mDKZsRAm0cE.css	C:/My%20Websites/0/static.xx.fbcdn.net/rsrc.php/v3/yS/l/1,cross/mDKZsRAm0cE.css	(from https://www.facebook.com/cabecoson)
20:12:19	10770/10770	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yL/l/1,cross/t1uXCw1AC69.css	C:/My%20Websites/0/static.xx.fbcdn.net/rsrc.php/v3/yL/l/1,cross/t1uXCw1AC69.css	(from https://www.facebook.com/cabecoson)
20:12:19	35331/35331	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/ys/l/1,cross/vSsJhiGMm6n.css	C:/My%20Websites/0/static.xx.fbcdn.net/rsrc.php/v3/ys/l/1,cross/vSsJhiGMm6n.css	(from https://www.facebook.com/cabecoson)
20:12:19	8387/8387	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/y5/l/1,cross/evNXJmVtBmu.css	C:/My%20Websites/0/static.xx.fbcdn.net/rsrc.php/v3/y5/l/1,cross/evNXJmVtBmu.css	(from https://www.facebook.com/cabecoson)
20:12:20	9046/9046	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yP/l/1,cross/aXC6cDU5jnn.css	C:/My%20Websites/0/static.xx.fbcdn.net/rsrc.php/v3/yP/l/1,cross/aXC6cDU5jnn.css	(from https://www.facebook.com/cabecoson)
20:12:21	311632/311632	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yE/r/YjRzzZ3NWhc.js	C:/My%20Websites/0/static.xx.fbcdn.net/rsrc.php/v3/yE/r/YjRzzZ3NWhc.js	(from https://www.facebook.com/cabecoson)
20:12:21	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2023%20Oct%202018%2012:12:22%20GMT	https://www.facebook.com/recover/initiate?lwv=110&ars=royal_blue_bar	C:/My%20Websites/0/www.facebook.com/recover/initiatebcdb	(from https://www.facebook.com/cabecoson)
20:12:21	538577/538577	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2012:12:22%20GMT	https://www.facebook.com/	C:/My%20Websites/0/www.facebook.com/index.html	(from https://www.facebook.com/cabecoson)
20:12:22	53582/53582	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Aug%202018%2018:42:29%20GMT	https://scontent.frmq1-1.fna.fbcdn.net/v/t1.0-9/c0.126.851.315/p851x315/38461303_436416993509364_6750766335279497216_o.jpg?_nc_cat=110&_nc_ht=scontent.frmq1-1.fna&oh=e7395594f863769194af054b36673aea&oe=5C42218A	C:/My%20Websites/0/scontent.frmq1-1.fna.fbcdn.net/v/t1.0-9/c0.126.851.315/p851x315/38461303_436416993509364_6750766335279497216_oad56.jpg	(from https://www.facebook.com/cabecoson)
20:12:22	505720/505720	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2012:12:22%20GMT	https://www.facebook.com/login/identify?ctx=recover&lwv=110&ars=royal_blue_bar	C:/My%20Websites/0/www.facebook.com/login/identifyc4d7.html	(from https://www.facebook.com/cabecoson)
20:12:22	1414/1414	---M--	200	added ('OK')	image/gif	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yk/r/LOOn0JtHNzb.gif	C:/My%20Websites/0/static.xx.fbcdn.net/rsrc.php/v3/yk/r/LOOn0JtHNzb.gif	(from https://www.facebook.com/cabecoson)
20:12:22	9155/9155	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20Sep%202018%2012:56:14%20GMT	https://scontent.frmq1-1.fna.fbcdn.net/v/t1.0-1/p160x160/42773806_477822102702186_5039884010046619648_n.jpg?_nc_cat=103&_nc_ht=scontent.frmq1-1.fna&oh=99bcb66d80a5ae18894d55dad40e231c&oe=5C56B276	C:/My%20Websites/0/scontent.frmq1-1.fna.fbcdn.net/v/t1.0-1/p160x160/42773806_477822102702186_5039884010046619648_n6de4.jpg	(from https://www.facebook.com/cabecoson)
20:12:23	573/573	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/ym/r/IKrON1RLHfZ.png	C:/My%20Websites/0/static.xx.fbcdn.net/rsrc.php/v3/ym/r/IKrON1RLHfZ.png	(from https://www.facebook.com/cabecoson)
20:12:24	595394/595394	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2012:12:24%20GMT	https://www.facebook.com/cabecoson/about	C:/My%20Websites/0/www.facebook.com/cabecoson/about.html	(from https://www.facebook.com/cabecoson)
20:12:24	508155/508155	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2012:12:25%20GMT	https://www.facebook.com/login/	C:/My%20Websites/0/www.facebook.com/login/index.html	(from https://www.facebook.com/cabecoson)
20:12:25	540245/540245	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2012:12:25%20GMT	https://www.facebook.com/reg/?rs=6	C:/My%20Websites/0/www.facebook.com/reg/index8d24.html	(from https://www.facebook.com/cabecoson)
20:12:25	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Oct%202018%2012:12:25%20GMT	https://www.facebook.com/pages/5058f1af/1603456289742509	C:/My%20Websites/0/www.facebook.com/pages/5058f1af/1603456289742509.16.delayed	(from https://www.facebook.com/cabecoson)
20:12:26	523812/523812	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2012:12:27%20GMT	https://www.facebook.com/pages/5058f1af/626803387384162?rf=1603456289742509	C:/My%20Websites/0/www.facebook.com/pages/5058f1af/626803387384162e822.html	(from https://www.facebook.com/cabecoson)
20:12:26	925/925	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Aug%202012%2000:00:00%20GMT	https://scontent.frmq1-1.fna.fbcdn.net/v/t1.0-1/c12.0.40.40/p40x40/399548_10149999285987789_1102888142_n.png?_nc_cat=1&_nc_ht=scontent.frmq1-1.fna&oh=05f317c005a989d0f619f239ca93de32&oe=5C3D7EF0	C:/My%20Websites/0/scontent.frmq1-1.fna.fbcdn.net/v/t1.0-1/c12.0.40.40/p40x40/399548_10149999285987789_1102888142_n6a89.png	(from https://www.facebook.com/cabecoson)
20:12:27	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Oct%202018%2012:12:28%20GMT	https://www.facebook.com/pages/%e5%8f%b0%e4%b8%ad%e5%b8%82/110922325599480	C:/My%20Websites/0/www.facebook.com/pages/%e5%8f%b0%e4%b8%ad%e5%b8%82/110922325599480	(from https://www.facebook.com/cabecoson)
20:12:27	4045/4045	---M--	200	added ('OK')	image/jpeg	date:Sat,%2015%20Sep%202018%2005:10:23%20GMT	https://scontent.frmq1-1.fna.fbcdn.net/v/t1.0-0/p160x160/41801911_469687906848939_711567903605915648_n.jpg?_nc_cat=105&_nc_ht=scontent.frmq1-1.fna&oh=5ff51cbe756d49091a98d7bafb6cdc57&oe=5C4498CF	C:/My%20Websites/0/scontent.frmq1-1.fna.fbcdn.net/v/t1.0-0/p160x160/41801911_469687906848939_711567903605915648_nf9c0.jpg	(from https://www.facebook.com/cabecoson)
20:12:27	510297/510297	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Oct%202018%2012:12:28%20GMT	https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Fcabecoson%2Fphotos	C:/My%20Websites/0/www.facebook.com/login/index03e3.html	(from https://www.facebook.com/cabecoson)
20:12:28	5347/5347	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Jul%202018%2005:16:09%20GMT	https://scontent.frmq1-1.fna.fbcdn.net/v/t1.0-0/p160x160/37053032_414712182346512_2274836072640806912_n.jpg?_nc_cat=100&_nc_ht=scontent.frmq1-1.fna&oh=50df61c0fb42ae89f09b5779d71837ee&oe=5C4B9F8C	C:/My%20Websites/0/scontent.frmq1-1.fna.fbcdn.net/v/t1.0-0/p160x160/37053032_414712182346512_2274836072640806912_nf778.jpg	(from https://www.facebook.com/cabecoson)
